11.86,23.04,10.03,18,28,903,85.5,46.38,408,423,482,78.9,0.38,0.06,6
11.86,23.04,10.03,19,37,903,85.5,46.38,408,423,482,78.9,0.38,0.06,6
11.86,23.04,10.03,18,19,903,85.5,46.38,408,423,482,78.9,0.38,0.06,6
11.86,23.04,10.03,19,32,903,85.5,46.38,408,423,482,78.9,0.38,0.06,6
11.61,23.36,10.75,19,51,1256,85.78,46.51,398,427,482,79.8,0.38,0.06,6
11.61,23.36,10.75,20,32,1256,85.78,46.51,398,427,482,79.8,0.38,0.06,6
11.61,23.36,10.75,20,59,1256,85.78,46.51,398,427,482,79.8,0.38,0.06,6
11.61,23.36,10.75,20,51,1256,85.78,46.51,398,427,482,79.8,0.38,0.06,6
11.61,23.36,10.75,19,48,1256,85.78,46.51,398,427,482,79.8,0.38,0.06,6
11.82,22.89,10.6,18,8,1011,85.81,46.33,410,424,468,80.6,0.35,0.08,6
11.82,22.89,10.6,19,3,1011,85.81,46.33,410,424,468,80.6,0.35,0.08,6
11.82,22.89,10.6,20,12,1011,85.81,46.33,410,424,468,80.6,0.35,0.08,6
11.82,22.89,10.6,20,47,1011,85.81,46.33,410,424,468,80.6,0.35,0.08,6
11.82,22.89,10.6,20,47,1011,85.81,46.33,410,424,468,80.6,0.35,0.08,6
11.82,22.89,10.6,19,56,1011,85.81,46.33,410,424,468,80.6,0.35,0.08,6
11.91,22.9,11.23,18,41,937,85.44,46.2,420,432,472,87.4,0.33,0.07,6
11.91,22.9,11.23,17,21,937,85.44,46.2,420,432,472,87.4,0.33,0.07,6
11.91,22.9,11.23,19,26,937,85.44,46.2,420,432,472,87.4,0.33,0.07,6
11.91,22.9,11.23,18,20,937,85.44,46.2,420,432,472,87.4,0.33,0.07,6
10.3,23.51,10.3,18,57,1366,84.77,45.93,420,432,472,87.4,0.33,0.07,6
10.3,23.51,10.3,20,23,1366,84.77,45.93,350,427,472,81.4,0.36,0.08,6
10.3,23.51,10.3,21,33,1366,84.77,45.93,350,427,472,81.4,0.36,0.08,6
10.3,23.51,10.3,19,54,1366,84.77,45.93,350,427,472,81.4,0.36,0.08,6
10.3,23.51,10.3,21,52,1366,84.77,45.93,350,427,472,81.4,0.36,0.08,6
10.3,23.51,10.3,19,62,1366,84.77,45.93,350,427,472,81.4,0.36,0.08,6
10.3,23.51,10.3,22,45,1366,84.77,45.93,350,427,472,81.4,0.36,0.08,6
10.3,23.51,10.3,19,24,1366,84.77,45.93,350,427,472,81.4,0.36,0.08,6
10.3,23.51,10.3,19,43,1366,84.77,45.93,350,427,472,81.4,0.36,0.08,6
11.76,23.3,10.67,18,28,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.76,23.3,10.67,18,31,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.76,23.3,10.67,18,33,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.76,23.3,10.67,20,56,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.76,23.3,10.67,20,58,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.76,23.3,10.67,19,39,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.76,23.3,10.67,21,63,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.76,23.3,10.67,21,44,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.76,23.3,10.67,20,33,1119,86.17,46.33,309,415,473,85,0.39,0.07,6
11.86,23.04,10.35,20,47,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.86,23.04,10.35,21,54,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.86,23.04,10.35,20,51,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.86,23.04,10.35,22,40,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.86,23.04,10.35,21,44,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.86,23.04,10.35,20,47,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.86,23.04,10.35,20,37,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.86,23.04,10.35,20,29,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.86,23.04,10.35,17,14,836,85.82,46.29,378,425,480,81.9,0.34,0.08,6
11.57,23.29,10.36,15,10,763,85.98,46.2,368,418,495,77,0.39,0.07,6
11.57,23.29,10.36,23,41,763,85.98,46.2,368,418,495,77,0.39,0.07,6
11.57,23.29,10.36,19,25,763,85.98,46.2,368,418,495,77,0.39,0.07,6
11.57,23.29,10.36,21,20,763,85.98,46.2,368,418,495,77,0.39,0.07,6
11.57,23.29,10.36,19,30,763,85.98,46.2,368,418,495,77,0.39,0.07,6
11.57,23.29,10.36,17,8,763,85.98,46.2,368,418,495,77,0.39,0.07,6